Time resolution is 1 ps
time test_in0 test_in1 test_out 
                   0 10101010 10101010 1
                 200 11001100 10111100 1
                 400 00001100 00001101 0
                 600 01010111 01010110 1
                 800 00000011 00000100 0
                1000 11111111 00000000 0
                1200 00000000 11111111 1
                1400 01101001 01101000 1
                1600 11111111 11011111 1
                1800 00000001 00000010 0
$stop called at time : 2 us : File "C:/Users/ruair/Documents/Vivado/Imported Files/gteq8_testbench.v" Line 71
