Time resolution is 1 ps
                   0 1 1 0 x
                  10 0 1 0 0
                  20 1 1 1 0
                  30 0 1 1 0
                  35 0 0 1 0
                  40 1 0 1 0
                  45 1 0 0 0
                  50 0 0 0 0
                  60 1 0 0 0
                  70 0 0 0 0
                  75 0 0 1 0
                  80 1 0 1 0
                  90 0 0 1 1
                 100 1 0 1 1
                 110 0 0 1 1
                 115 0 1 1 1
                 120 1 1 1 1
                 130 0 1 1 0
                 140 1 1 1 0
                 145 1 0 1 0
                 150 0 0 1 1
                 160 1 0 1 1
                 170 0 0 1 1
                 175 0 0 0 1
                 180 1 0 0 1
                 190 0 0 0 0
                 200 1 0 0 0
                 210 0 0 0 0
                 220 1 0 0 0
                 230 0 0 0 0
$stop called at time : 240 ns : File "C:/Users/ruair/Documents/Vivado/LabF_A/LabF_A.srcs/sources_1/new/d_ff_reset_TB.v" Line 66
